pdq,seasonal_pdq,hold_out,MAPE
"(0, 1, 1)","(1, 2, 1, 12)",6,0.04401822780482476
"(0, 1, 1)","(1, 2, 1, 12)",9,0.02893359089706628
"(0, 1, 1)","(1, 2, 1, 12)",12,0.029682197230413872
"(0, 1, 1)","(1, 2, 2, 12)",6,0.04913650946854314
"(0, 1, 1)","(1, 2, 2, 12)",9,0.04222936109351563
"(0, 1, 1)","(1, 2, 2, 12)",12,0.030634024449481004
"(0, 1, 1)","(2, 0, 0, 12)",6,0.009857396510859194
"(0, 1, 1)","(2, 0, 0, 12)",9,0.02327543207051275
"(0, 1, 1)","(2, 0, 0, 12)",12,0.12285326794906713
"(0, 1, 1)","(2, 0, 1, 12)",6,0.009934689447806603
"(0, 1, 1)","(2, 0, 1, 12)",9,0.023120188360874823
"(0, 1, 1)","(2, 0, 1, 12)",12,0.12275605893324398
"(0, 1, 1)","(2, 0, 2, 12)",6,0.011174742015219306
"(0, 1, 1)","(2, 0, 2, 12)",9,0.023148983531838488
"(0, 1, 1)","(2, 0, 2, 12)",12,0.12682305024477267
"(0, 1, 1)","(2, 1, 0, 12)",6,0.0201107300388999
"(0, 1, 1)","(2, 1, 0, 12)",9,0.03454138020817347
"(0, 1, 1)","(2, 1, 0, 12)",12,0.06558776724707648
"(0, 1, 1)","(2, 1, 1, 12)",6,0.017379620813196595
"(0, 1, 1)","(2, 1, 1, 12)",9,0.03745952340730675
"(0, 1, 1)","(2, 1, 1, 12)",12,0.07372407237317942
"(0, 1, 1)","(2, 1, 2, 12)",6,0.14717922319388813
"(0, 1, 1)","(2, 1, 2, 12)",9,0.027020921905520898
"(0, 1, 1)","(2, 1, 2, 12)",12,0.24835519792316518
"(0, 1, 1)","(2, 2, 0, 12)",6,0.06727397256255627
"(0, 1, 1)","(2, 2, 0, 12)",9,0.03293061203819104
